Name,Has_Broader,Broader_Term
Amaryllis vittata var. tweedieana,yes,Amaryllis vittata
Amblostoma,yes,ORCHIDACEAE
Amblostoma densum,yes,Amblostoma
Amblostoma gracile,yes,Amblostoma
Amblostoma gracile var. robustum,yes,Amblostoma gracile
Ambrosia artemisiifolia,yes,Ambrosia
Ambrosia artemisiifolia var. elatior,yes,Ambrosia artemisiifolia
Amelanchier canadensis,yes,Amelanchier
Amellus,yes,ASTERACEAE
Amellus lychnitis,yes,Amellus
Amphipterygium,yes,ANACARDIACEAE
Amphipterygium adstringens,yes,Amphipterygium
Amsinckia spectabilis,yes,Amsinckia
Amsinckia tessellata,yes,Amsinckia
Ananthacorus,yes,PTERIDACEAE
Ananthacorus angustifolius,yes,Ananthacorus
Andropogon hallii,yes,Andropogon
Androsace carnea,yes,Androsace
Androsace helvetica,yes,Androsace
Anemia hirsuta,yes,Anemia
Anemia tomentosa,yes,Anemia
Anemia tomentosa var. mexicana,yes,Anemia tomentosa
Anemone parviflora,yes,Anemone
Angophora melanoxylon,yes,Angophora
Angraecum birrimense,yes,Angraecum
Angraecum cucullatum,yes,Angraecum
Angraecum multinominatum,yes,Angraecum
Anguillaria,yes,COLCHICACEAE
Anguillaria dioica,yes,Anguillaria
Anigozanthos humilis,yes,Anigozanthos
Anigozanthos manglesii,yes,Anigozanthos
Anigozanthos pulcherrimus,yes,Anigozanthos
Anigozanthos rufus,yes,Anigozanthos
Annularia,yes,APOCYNACEAE
Anoectochilus formosanus,yes,Anoectochilus
Anogeissus,yes,COMBRETACEAE
Anogeissus pendula,yes,Anogeissus
Anthobolus,yes,OPILIACEAE
Anthobolus foveolatus,yes,Anthobolus
Anthocercis,yes,SOLANACEAE
Anticharis,yes,SCROPHULARIACEAE
Anticharis linearis,yes,Anticharis
Antidesma,yes,PHYLLANTHACEAE
Antidesma bunius,yes,Antidesma
Antidesma pulvinatum,yes,Antidesma
Antirrhinum coulterianum,yes,Antirrhinum
Antirrhinum kelloggii,yes,Antirrhinum
Antirrhinum latifolium,yes,Antirrhinum
Antirrhinum lazari,yes,Antirrhinum
Antirrhinum maurandioides,yes,Antirrhinum
Antirrhinum orontium,yes,Antirrhinum
Antrophyum,yes,PTERIDACEAE
Antrophyum ensiforme,yes,Antrophyum
Antrophyum lineatum,yes,Antrophyum
Anychia,yes,CARYOPHYLLACEAE
Anychia dichotoma,yes,Anychia
Aphloia,yes,APHLOIACEAE
APHLOIACEAE,no,
Aphloia theiformis,yes,Aphloia
Apiastrum,yes,APIACEAE
Apiastrum angustifolium,yes,Apiastrum
Apium chilense,yes,Apium
Aporocactus martianus,yes,Aporocactus
Apurimacia,yes,FABACEAE
Aquilegia caerulea,yes,Aquilegia
Aquilegia karatavica,yes,Aquilegia
Arabidopsis,yes,BRASSICACEAE
Arabidopsis thaliana,yes,Arabidopsis
Arabis cypria,yes,Arabis
Arabis macloviana,yes,Arabis
Arabis platysperma,yes,Arabis
Arabis platysperma var. howellii,yes,Arabis platysperma
Arachniodes maximowiczii,yes,Arachniodes
Arachnothryx,yes,RUBIACEAE
Araucaria balansae,yes,Araucaria
Araucaria bidwillii,yes,Araucaria
Araucaria columnaris,yes,Araucaria
Araucaria cookii,yes,Araucaria
Araucaria excelsa,yes,Araucaria
Araucaria klinkii,yes,Araucaria
Araujia,yes,APOCYNACEAE
Araujia sericifera,yes,Araujia
Arctostaphylos ×,no,
Arctostaphylos Ã— intermedia,no,
Arctostaphylos cinerea,yes,Arctostaphylos
Arctostaphylos drupacea,yes,Arctostaphylos
Arctostaphylos glandulosa var. cushingiana,no,
Arctostaphylos laevigata,yes,Arctostaphylos
Arctostaphylos oppositifolia,yes,Arctostaphylos
Arctostaphylos parryana,yes,Arctostaphylos
Arctostaphylos pyrifolia,yes,Arctostaphylos
Arctostaphylos viscida var. oblongifolia,no,
Ardisia punctata,yes,Ardisia
Ardisia rarescens,yes,Ardisia
Arenaria leptoclados,yes,Arenaria
Arenaria pumicola,yes,Arenaria
Argemone munita subsp. argentea,no,
Argyranthemum broussonetii,yes,Argyranthemum
Argyranthemum foeniculaceum,yes,Argyranthemum
Argyranthemum frutescens subsp. canariae,no,
Argyranthemum frutescens subsp. gracilescens,no,
Argyranthemum maderense,yes,Argyranthemum
Argyranthemum thalassophilum,yes,Argyranthemum
Argyroderma ×,no,
Argyroderma Ã— necopinum,no,
Argyroderma strictum,yes,Argyroderma
Argyroderma testiculare,yes,Argyroderma
Argyroxiphium sandwicense,yes,Argyroxiphium
Argyroxiphium sandwicense var. kauense,yes,Argyroxiphium sandwicense
Argyroxiphium virescens,yes,Argyroxiphium
Argyroxiphium virescens var. paludosa,yes,Argyroxiphium virescens
Aria edulis (Willd.) M. Roem.,yes,Aria
Aridaria notha,yes,Aridaria
Aridaria rosea,yes,Aridaria
Aridaria tetragona,yes,Aridaria
Arisaema serratum var. ionochlamys,no,
Aristea biflora,yes,Aristea
Aristea compressa,yes,Aristea
Aristea platycaulis,yes,Aristea
Aristida contorta,yes,Aristida
Aristolochia deltoidea,yes,Aristolochia
Aristolochia maxima,yes,Aristolochia
Aristolochia sempervirens,yes,Aristolochia
Armatocereus rauhii,yes,Armatocereus
Arnaldoa,yes,ASTERACEAE
Arnaldoa weberbaueri,yes,Arnaldoa
Arnica chamissonis,yes,Arnica
Arnica chamissonis subsp. foliosa,yes,Arnica chamissonis
Arrojadoa penicillata var. decumbens,no,
Artabotrys,yes,ANNONACEAE
Artabotrys brachypetalus,yes,Artabotrys
Artemisia arctica,yes,Artemisia
Artemisia chamaemelifolia,yes,Artemisia
Artemisia glacialis,yes,Artemisia
Artemisia iwayomogi,yes,Artemisia
Artemisia mauiensis,yes,Artemisia
Arthropodium candidum,yes,Arthropodium
Arthrostylidium longiflorum,yes,Arthrostylidium
Arum pictum,yes,Arum
Arundinaria variegata,yes,Arundinaria
Asarum sieboldii,yes,Asarum
Asclepias filiformis,yes,Asclepias
Asclepias similis,yes,Asclepias
Ascyrum,yes,HYPERICACEAE
Ascyrum hypericoides,yes,Ascyrum
Asparagus asparagoides,yes,Asparagus
Aspasia variegata,yes,Aspasia
Asphodelus cerasiferus,yes,Asphodelus
Asphodelus fistulosus,yes,Asphodelus
Asplenium abscissum,yes,Asplenium
Asplenium africanum,yes,Asplenium
Asplenium cuneatum,yes,Asplenium
Asplenium flabellifolium,yes,Asplenium
Asplenium lucidum,yes,Asplenium
Asplenium nitidum,yes,Asplenium
Asplenium normale,yes,Asplenium
Asplenium pekinense,yes,Asplenium
Asplenium pellucidum,yes,Asplenium
Asplenium platyneuron,yes,Asplenium
Asplenium pseuderectum,yes,Asplenium
Asplenium ruta,yes,Asplenium
Asplenium rutaceum,yes,Asplenium
Asplenium unilaterale,yes,Asplenium
Asplenium viride,yes,Asplenium
Aspris,yes,POACEAE
Aspris caryophyllea,yes,Aspris
Astartea,yes,MYRTACEAE
Astartea fascicularis,yes,Astartea
Astelia menziesiana,yes,Astelia
Aster filifolius,yes,Aster
Asteriscus stenophyllus,yes,Asteriscus
Aster pyrenaeus Desf. ex DC.,yes,Aster
