Name,Has_Broader,Broader_Term
DIRACHMACEAE,no,
Dirachma socotrana,yes,Dirachma
Dirichletia,yes,RUBIACEAE
Dirichletia obovata,yes,Dirichletia
Disa racemosa,yes,Disa
Discaria ×,no,
Discaria Ã— serratifolia,no,
Dischisma arenarium,yes,Dischisma
Discocactus hartmannii,yes,Discocactus
Disocactus acuminatus,yes,Disocactus
Disocactus alatus,yes,Disocactus
Disocactus eichlamii,yes,Disocactus
Disocactus quezaltecus,yes,Disocactus
Disphyma dunsdonii,yes,Disphyma
Disterigma alaternoides,yes,Disterigma
Diuranthera,yes,ASPARAGACEAE
Diuris aurea,yes,Diuris
Dizygotheca,yes,ARALIACEAE
Dizygotheca lecardii,yes,Dizygotheca
Dodonaea eriocarpa,yes,Dodonaea
Dodonaea peduncularis,yes,Dodonaea
Dodonaea pinnata,yes,Dodonaea
Dodonaea sandwicensis,yes,Dodonaea
Dodonaea thunbergiana,yes,Dodonaea
Dombeya cacuminum,yes,Dombeya
Dombeya erythroleuca,yes,Dombeya
Donnellsmithia,yes,APIACEAE
Donnellsmithia breedlovei,yes,Donnellsmithia
Doodia caudata,yes,Doodia
Dorstenia contrajerva,yes,Dorstenia
Dorycnium rectum,yes,Dorycnium
Doryopteris concolor,yes,Doryopteris
Downingia cuspidata,yes,Downingia
Downingia elegans,yes,Downingia
Downingia ornatissima,yes,Downingia
Downingia pulchella,yes,Downingia
Draba lemmonii,yes,Draba
Draba pterosperma,yes,Draba
Dracaena hookeriana,yes,Dracaena
Dracaena usambarensis,yes,Dracaena
Dracophyllum acerosum,yes,Dracophyllum
Drimia anomala,yes,Drimia
Drimia zombensis,yes,Drimia
Drimys aromatica,yes,Drimys
Drimys confertifolia,yes,Drimys
Drimys granadensis var. mexicana,no,
Drimys membranea,yes,Drimys
Drimys winteri var. chilensis,no,
Drimys xerophila,yes,Drimys
Drosanthemum concavum,yes,Drosanthemum
Drosanthemum diversifolium,yes,Drosanthemum
Drosanthemum pulchellum,yes,Drosanthemum
Drosanthemum schoenlandianum,yes,Drosanthemum
Drosanthemum vespertinum,yes,Drosanthemum
Drosanthemum vespertinum var. suffusum,yes,Drosanthemum vespertinum
Drosera auriculata,yes,Drosera
Drosera erythrorhiza,yes,Drosera
Drosera gigantea,yes,Drosera
Drosera pygmaea,yes,Drosera
Drosera tracyi,yes,Drosera
Dryandra,yes,PROTEACEAE
Dryandra carduacea,yes,Dryandra
Dryandra formosa,yes,Dryandra
Dryandra fraseri,yes,Dryandra
Dryandra nivea,yes,Dryandra
Dryandra nobilis,yes,Dryandra
Dryandra quercifolia,yes,Dryandra
Dryandra sessilis,yes,Dryandra
Drymoglossum piloselloides,yes,Drymoglossum
Drynaria bonii Christ,yes,Drynaria
Drynaria pleuridioides,yes,Drynaria
Dryopteris fuscoatra (Hillebr.) W.J. Rob.,yes,Dryopteris
Dryopteris oreopteris,yes,Dryopteris
Dryopteris parallelogramma,yes,Dryopteris
Dryopteris rubiginosa (Brack.) Kuntze,yes,Dryopteris
Dryopteris rusbyi,yes,Dryopteris
Dryopteris sagittifolia,yes,Dryopteris
Dryopteris submarginalis,yes,Dryopteris
Duabanga,yes,LYTHRACEAE
Duabanga sonneratioides,yes,Duabanga
Dubautia knudsenii,yes,Dubautia
Dubautia menziesii,yes,Dubautia
Dubautia scabra,yes,Dubautia
Duboisia leichhardtii,yes,Duboisia
Dudleya ×,no,
Dudleya Ã— semiteres,no,
Dudleya cymosa subsp. cymosa,no,
Dudleya nubigena,yes,Dudleya
Dudleya rigidiflora,yes,Dudleya
Dudleya variegata,yes,Dudleya
Dudleya virens (Rose) Moran subsp. insularis (Rose) Moran,yes,Dudleya virens (Rose) Moran
Duranta peruviana,yes,Duranta
Duranta serratifolia,yes,Duranta
Duvalia compacta,yes,Duvalia
Duvalia elegans,yes,Duvalia
Duvalia radiata,yes,Duvalia
Duvalia reclinata,yes,Duvalia
Duvalia sulcata,yes,Duvalia
Dyckia chaguar,yes,Dyckia
Dyckia dawsonii,yes,Dyckia
Dyckia frigida,yes,Dyckia
Dyerophytum,yes,PLUMBAGINACEAE
Dyerophytum pendulum,yes,Dyerophytum
Dyssodia setifolia,yes,Dyssodia
Eberlanzia,yes,AIZOACEAE
Eberlanzia vulnerans,yes,Eberlanzia
Ebracteola,yes,AIZOACEAE
Ebracteola fulleri,yes,Ebracteola
Ecbolium,yes,ACANTHACEAE
Ecbolium spicatum,yes,Ecbolium
Echeveria acutifolia,yes,Echeveria
Echeveria alpina,yes,Echeveria
Echeveria amphoralis,yes,Echeveria
Echeveria argentinensis,yes,Echeveria
Echeveria calycosa,yes,Echeveria
Echeveria chiclensis,yes,Echeveria
Echeveria ciliata,yes,Echeveria
Echeveria glauca var. tolucensis,yes,Echeveria glauca
Echeveria globuliflora,yes,Echeveria
Echeveria goldmanii,yes,Echeveria
Echeveria guatemalensis,yes,Echeveria
Echeveria heterosepala,yes,Echeveria
Echeveria longiflora,yes,Echeveria
Echeveria macrantha,yes,Echeveria
Echeveria maculata,yes,Echeveria
Echeveria megacalyx,yes,Echeveria
Echeveria microcalyx,yes,Echeveria
Echeveria moranii,yes,Echeveria
Echeveria nuda,yes,Echeveria
Echeveria penduliflora,yes,Echeveria
Echeveria peruviana,yes,Echeveria
Echeveria pinetorum,yes,Echeveria
Echeveria pittieri,yes,Echeveria
Echeveria platyphylla,yes,Echeveria
Echeveria rubromarginata,yes,Echeveria
Echeveria scopulorum,yes,Echeveria
Echeveria sprucei,yes,Echeveria
Echeveria subalpina,yes,Echeveria
Echeveria subsessilis,yes,Echeveria
Echeveria tolucensis,yes,Echeveria
Echeveria walpoleana,yes,Echeveria
Echidnopsis angustiloba,yes,Echidnopsis
Echidnopsis bihendulensis,yes,Echidnopsis
Echidnopsis framesii,yes,Echidnopsis
Echinocactus whipplei,yes,Echinocactus
Echinocereus albiflorus,yes,Echinocereus
Echinocereus baileyi,yes,Echinocereus
Echinocereus chisoensis,yes,Echinocereus
Echinocereus conoideus,yes,Echinocereus
Echinocereus cucumis,yes,Echinocereus
Echinocereus davisii,yes,Echinocereus
Echinocereus engelmannii var. munzii,no,
Echinocereus floresii,yes,Echinocereus
Echinocereus gonacanthus,yes,Echinocereus
Echinocereus palmeri,yes,Echinocereus
Echinocereus perbellus,yes,Echinocereus
Echinocereus purpureus,yes,Echinocereus
Echinocereus scopulorum,yes,Echinocereus
Echinocereus sharpii,yes,Echinocereus
Echinofossulocactus obvallatus,yes,Echinofossulocactus
Echinofossulocactus pentacanthus,yes,Echinofossulocactus
Echinofossulocactus phyllacanthus,yes,Echinofossulocactus
Echinofossulocactus zacatecasensis,yes,Echinofossulocactus
Echinopsis ×,no,
Echinopsis Ã— imperialis,no,
Echinopsis ducis-pauli,yes,Echinopsis
Echinopsis fiebrigii,yes,Echinopsis
Echinopsis hystrix,yes,Echinopsis
Echinopsis leucorhodantha,yes,Echinopsis
Echinopsis longispina,yes,Echinopsis
Echinopsis polyancistra,yes,Echinopsis
Echinopsis potosina,yes,Echinopsis
Echinopsis silvestrii,yes,Echinopsis
Echinopsis torrecillasensis,yes,Echinopsis
Echinopsis tubiflora,yes,Echinopsis
Echinops niveus,yes,Echinops
Echium giganteum,yes,Echium
Echium webbii,yes,Echium
Ectadiopsis,yes,APOCYNACEAE
Ectadiopsis volubilis,yes,Ectadiopsis
Edgeworthia chrysantha,yes,Edgeworthia
Ekebergia,yes,MELIACEAE
Ekebergia capensis,yes,Ekebergia
Elaeagnus multiflora,yes,Elaeagnus
Elaeagnus philippensis,yes,Elaeagnus
Elaeagnus pungens,yes,Elaeagnus
Elaphoglossum cubense,yes,Elaphoglossum
Elaphoglossum decoratum,yes,Elaphoglossum
Elaphoglossum papillosum,yes,Elaphoglossum
Elaphoglossum rupestre,yes,Elaphoglossum
Elaphoglossum spatulatum,yes,Elaphoglossum
Elaphoglossum squamipes,yes,Elaphoglossum
Elaphoglossum villosum,yes,Elaphoglossum
ELATINACEAE,no,
Elatostema,yes,URTICACEAE
Elatostema repens,yes,Elatostema
Elegia cuspidata,yes,Elegia
Elephantorrhiza,yes,FABACEAE
Elephantorrhiza burkei,yes,Elephantorrhiza
Elephantorrhiza elephantina,yes,Elephantorrhiza
Elleanthus hymenophorus,yes,Elleanthus
Elleanthus oliganthus,yes,Elleanthus
Elymus mackenzii,yes,Elymus
Embothrium grandiflorum,yes,Embothrium
Empetrum hermaphroditum,yes,Empetrum
Empetrum nigrum var. japonicum,no,
Enarganthe,yes,AIZOACEAE
Enarganthe octonaria,yes,Enarganthe
Enargea,yes,ALSTROEMERIACEAE
Enargea parviflora,yes,Enargea
Encelia canescens var. lanuginosa,no,
Enceliopsis argophylla,yes,Enceliopsis
Encephalartos barteri,yes,Encephalartos
Encyclia campylostalix,yes,Encyclia
Encyclia crassilabia,yes,Encyclia
Encyclia hartwegii,yes,Encyclia
Encyclia spondiada,yes,Encyclia
Engelhardia,yes,JUGLANDACEAE
Engelhardia roxburghiana,yes,Engelhardia
Enkianthus cernuus var. matsudae,no,
Ennealophus,yes,IRIDACEAE
Ennealophus amazonicus,yes,Ennealophus
Enneapogon cylindricus,yes,Enneapogon
Epacris,yes,ERICACEAE
Epacris impressa,yes,Epacris
Epacris paludosa,yes,Epacris
Epacris petrophila,yes,Epacris
Ephedra foliata,yes,Ephedra
Ephedra kokanica,yes,Ephedra
Ephedra triandra,yes,Ephedra
Ephemerantha,yes,ORCHIDACEAE
Ephemerantha thysanochila,yes,Ephemerantha
Epidanthus,yes,ORCHIDACEAE
Epidanthus paranthicus,yes,Epidanthus
Epidendrum amblostomoides,yes,Epidendrum
Epidendrum anceps,yes,Epidendrum
Epidendrum aromaticum,yes,Epidendrum
Epidendrum bambusiforme,yes,Epidendrum
Epidendrum barkeriola,yes,Epidendrum
Epidendrum breviracemum,yes,Epidendrum
Epidendrum caroli,yes,Epidendrum
Epidendrum cebolleta,yes,Epidendrum
Epidendrum difforme var. firmum,no,
Epidendrum endresii,yes,Epidendrum
Epidendrum exasperatum,yes,Epidendrum
Epidendrum excisum,yes,Epidendrum
Epidendrum eximium,yes,Epidendrum
Epidendrum forcipatum,yes,Epidendrum
Epidendrum fundii,yes,Epidendrum
Epidendrum funkii,yes,Epidendrum
Epidendrum ghiesbreghtianum,yes,Epidendrum
Epidendrum hartwegii,yes,Epidendrum
Epidendrum laucheanum,yes,Epidendrum
Epidendrum ottonis,yes,Epidendrum
Epidendrum paniculatum var. linearifolium,no,
Epidendrum papilionaceum,yes,Epidendrum
Epidendrum polychlamys,yes,Epidendrum
Epidendrum renilabium,yes,Epidendrum
Epidendrum rigidum,yes,Epidendrum
Epidendrum scutella,yes,Epidendrum
Epidendrum sophronitis,yes,Epidendrum
Epidendrum stenopetalum,yes,Epidendrum
Epidendrum trachythece,yes,Epidendrum
Epigaea asiatica,yes,Epigaea
Epilobium luteum,yes,Epilobium
Epipactis atropurpurea,yes,Epipactis
Epipactis palustris,yes,Epipactis
Epiphyllum hookeri,yes,Epiphyllum
Epiphyllum phyllanthus var. columbiense,no,
Epiphyllum phyllanthus var. hookeri,no,
Epithelantha micromeris var. greggii,no,
Eragrostis speciosa,yes,Eragrostis
Eremaea beaufortioides,yes,Eremaea
Eremaea violacea,yes,Eremaea
Eremocharis,yes,APIACEAE
Eremocharis tripartita,yes,Eremocharis
Eremophila longifolia,yes,Eremophila
Eremophila scoparia,yes,Eremophila
Eremostachys hissarica,yes,Eremostachys
Eremurus aitchisonii,yes,Eremurus
Eremurus bucharicus,yes,Eremurus
Eremurus comosus,yes,Eremurus
Eremurus inderiensis,yes,Eremurus
Eremurus kopet-daghensis,yes,Eremurus
Eremurus robustus,yes,Eremurus
Eremurus turkestanicus,yes,Eremurus
Erepsia anceps,yes,Erepsia
Erepsia heteropetala,yes,Erepsia
Eriastrum filifolium,yes,Eriastrum
Erica australis,yes,Erica
Erica carnea,yes,Erica
Erica carnea var. alba,yes,Erica carnea
Erica chamissonis,yes,Erica
Erica chloroloma,yes,Erica
Erica cubica,yes,Erica
Erica decipiens,yes,Erica
Erica hirtiflora,yes,Erica
Erica holosericea,yes,Erica
Erica imbricata,yes,Erica
Erica longifolia Aiton,yes,Erica
Erica macowanii,yes,Erica
Erica nabea,yes,Erica
Erica pectinifolia,yes,Erica
Erica perspicua,yes,Erica
Erica quadrangularis,yes,Erica
Erica scoparia var. platycodon,no,
Erica thimifolia,yes,Erica
Erica triflora,yes,Erica
Erica urceolaris,yes,Erica
Erica vagans,yes,Erica
Erigeron cervinus,yes,Erigeron
Erigeron conyzoides,yes,Erigeron
Erigeron ursinus,yes,Erigeron
Eriocereus ×,no,
Eriocereus Ã— jusbertii,no,
Eriodictyon traskiae subsp. smithii,no,
Eriogonum giganteum S. Watson var. giganteum,yes,Eriogonum giganteum S. Watson
Eriogonum grande Greene var. rubescens (Greene) Munz,yes,Eriogonum grande Greene
Eriogonum umbellatum var. modocense,no,
Eriosorus elongatus,yes,Eriosorus
Eriospermum abyssinicum,yes,Eriospermum
Eriospermum thyrsoideum,yes,Eriospermum
Eriosyce ihotzkyanae,yes,Eriosyce
Erodium absinthoides,yes,Erodium
Erodium botrys,yes,Erodium
Erodium chamaedryoides,yes,Erodium
Erodium chamaedryoides f. roseum,yes,Erodium chamaedryoides
Erodium chrysanthum,yes,Erodium
Erodium corsicum,yes,Erodium
Erodium cygnorum,yes,Erodium
Erodium cygnorum subsp. glandulosum,yes,Erodium cygnorum
Erodium malachoides,yes,Erodium
Erodium manescavi,yes,Erodium
Erodium trichomanefolium,yes,Erodium
Ervatamia coronaria,yes,Ervatamia
Eryngium chamissonis,yes,Eryngium
Eryngium ciliatum,yes,Eryngium
Eryngium floribundum,yes,Eryngium
Eryngium floribundum var. pycnocephalum,yes,Eryngium floribundum
Eryngium stenophyllum,yes,Eryngium
Erysimum ghiesbreghtii,yes,Erysimum
Erythrina constantiana,yes,Erythrina
Erythrina latissima,yes,Erythrina
Erythrina montana,yes,Erythrina
ERYTHROXYLACEAE,no,
Erythroxylon,yes,ERYTHROXYLACEAE
Erythroxylum,yes,ERYTHROXYLACEAE
Erythroxylum delagoense,yes,Erythroxylum
Escallonia rubra var. macrantha,no,
Escobaria bella,yes,Escobaria
Escobaria cubensis,yes,Escobaria
Escobaria runyonii,yes,Escobaria
Escobedia,yes,OROBANCHACEAE
Escobedia scabrifolia,yes,Escobedia
Esenbeckia,yes,RUTACEAE
Esenbeckia flava,yes,Esenbeckia
Espeletia grandiflora,yes,Espeletia
Espeletia neriifolia,yes,Espeletia
Espostoa procera,yes,Espostoa
Eucalyptus aquilina,yes,Eucalyptus
Eucalyptus camaldulensis,yes,Eucalyptus
Eucalyptus campaspe,yes,Eucalyptus
Eucalyptus cosmophylla,yes,Eucalyptus
Eucalyptus erythronema,yes,Eucalyptus
Eucalyptus ewartiana,yes,Eucalyptus
Eucalyptus grossa,yes,Eucalyptus
Eucalyptus kruseana,yes,Eucalyptus
Eucalyptus lehmannii,yes,Eucalyptus
Eucalyptus macrorhyncha,yes,Eucalyptus
Eucalyptus marginata,yes,Eucalyptus
Eucalyptus megacornuta,yes,Eucalyptus
Eucalyptus melanoxylon,yes,Eucalyptus
Eucalyptus melliodora,yes,Eucalyptus
Eucalyptus moorei,yes,Eucalyptus
Eucalyptus nicholii,yes,Eucalyptus
Eucalyptus nitens,yes,Eucalyptus
Eucalyptus nutans,yes,Eucalyptus
Eucalyptus ovata,yes,Eucalyptus
Eucalyptus pimpiniana,yes,Eucalyptus
Eucalyptus populnea,yes,Eucalyptus
Eucalyptus porosa,yes,Eucalyptus
Eucalyptus pulchella,yes,Eucalyptus
Eucalyptus pulverulenta,yes,Eucalyptus
Eucalyptus remota,yes,Eucalyptus
Eucalyptus rhodantha,yes,Eucalyptus
Eucalyptus robertsonii,yes,Eucalyptus
Eucalyptus stricklandii,yes,Eucalyptus
Eucalyptus tereticornis,yes,Eucalyptus
Eucalyptus torquata,yes,Eucalyptus
Eucalyptus viminalis,yes,Eucalyptus
Eucalyptus viridis,yes,Eucalyptus
Eucarya,yes,SANTALACEAE
Eucarya murrayana,yes,Eucarya
Eucarya spicata,yes,Eucarya
Eucharis ×,no,
Eucharis Ã— grandiflora,no,
Euchlaena,yes,POACEAE
Euchlaena mexicana,yes,Euchlaena
Eucrosia,yes,AMARYLLIDACEAE
Eucrosia eucrosioides,yes,Eucrosia
Eucrosia eucrosioides var. rauhiana,yes,Eucrosia eucrosioides
Eucrosia morleyana,yes,Eucrosia
Eucryphia milliganii,yes,Eucryphia
Eugenia aromatica,yes,Eugenia
Eugenia sandwicensis,yes,Eugenia
Eugenia smithii,yes,Eugenia
Eulophia afra,yes,Eulophia
Eulophia paivaeana,yes,Eulophia
Eulophia petersii,yes,Eulophia
Eulophia tabularis,yes,Eulophia
Eulophidium angustifolium,yes,Eulophidium
Eulophidium lokobense,yes,Eulophidium
Eulophidium maculatum,yes,Eulophidium
Eulophidium pulchrum,yes,Eulophidium
Euonymus hamiltonianus Wall.,yes,Euonymus
Eupatorium angulare,yes,Eupatorium
Eupatorium collinum,yes,Eupatorium
Eupatorium hecatanthum,yes,Eupatorium
Eupatorium hospitale,yes,Eupatorium
Eupatorium leptocephalum,yes,Eupatorium
Eupatorium molinae,yes,Eupatorium
Eupatorium monticola,yes,Eupatorium
Eupatorium odoratum,yes,Eupatorium
Eupatorium persicifolium,yes,Eupatorium
Eupatorium petiolare,yes,Eupatorium
Eupatorium pseudarboreum,yes,Eupatorium
Eupatorium scopulorum,yes,Eupatorium
Eupatorium sideritidis,yes,Eupatorium
Eupatorium stictophyllum,yes,Eupatorium
Eupatorium tahonense,yes,Eupatorium
Eupatorium vitalbae,yes,Eupatorium
Euphorbia abyssinica,yes,Euphorbia
Euphorbia alcicornis,yes,Euphorbia
Euphorbia atropurpurea var. modesta,no,
Euphorbia bravoana,yes,Euphorbia
Euphorbia bubalina,yes,Euphorbia
Euphorbia capitulata,yes,Euphorbia
Euphorbia clava,yes,Euphorbia
Euphorbia hermentiana,yes,Euphorbia
Euphorbia hypogaea,yes,Euphorbia
Euphorbia ledienii,yes,Euphorbia
Euphorbia longetuberculosa,yes,Euphorbia
Euphorbia maculata,yes,Euphorbia
Euphorbia maleolens,yes,Euphorbia
Euphorbia megalatlantica,yes,Euphorbia
Euphorbia multiclava,yes,Euphorbia
Euphorbia namibensis,yes,Euphorbia
Euphorbia orjeni,yes,Euphorbia
Euphorbia pentops,yes,Euphorbia
Euphorbia piscatoria,yes,Euphorbia
Euphorbia polyacantha,yes,Euphorbia
Euphorbia pseudoglobosa,yes,Euphorbia
Euphorbia qarad,yes,Euphorbia
Euphorbia resinifera,yes,Euphorbia
Euphorbia sapinii,yes,Euphorbia
Euphorbia serpillifolia,yes,Euphorbia
Euphorbia siliciicola,yes,Euphorbia
Euphorbia supina,yes,Euphorbia
Euphorbia triangularis,yes,Euphorbia
Euphorbia tridentata,yes,Euphorbia
Euphorbia tuberosa,yes,Euphorbia
Euphorbia turbiniformis,yes,Euphorbia
Euphrasia brownii,yes,Euphrasia
Euphrasia brownii var. alpina,yes,Euphrasia brownii
Euphrasia subexserta,yes,Euphrasia
Euryops abrotanifolius,yes,Euryops
Euryops spathaceus,yes,Euryops
Euxolus,yes,AMARANTHACEAE
Euxolus caudatus,yes,Euxolus
Evia,yes,ANACARDIACEAE
Exacum,yes,GENTIANACEAE
Exacum caeruleum,yes,Exacum
Exocarpos,yes,SANTALACEAE
Exocarpos sparteus,yes,Exocarpos
Exochorda alberti,yes,Exochorda
Farsetia,yes,BRASSICACEAE
Farsetia longisiliqua,yes,Farsetia
Felicia amelloides,yes,Felicia
Felicia echinata,yes,Felicia
Felicia rotundifolia,yes,Felicia
Ferocactus acanthodes var. rostii,no,
Ferocactus coloratus,yes,Ferocactus
Ferocactus latispinus var. flavispinus,no,
Festuca elatior,yes,Festuca
Festuca octoflora,yes,Festuca
Ficus gnaphalocarpa,yes,Ficus
Ficus parcellii,yes,Ficus
Ficus retusa,yes,Ficus
Ficus socotrana,yes,Ficus
Fitchia,yes,ASTERACEAE
Fitchia speciosa,yes,Fitchia
Forchhammeria watsonii,yes,Forchhammeria
Fouquieria campanulata,yes,Fouquieria
Fouquieria formosa,yes,Fouquieria
Fouquieria leonilae,yes,Fouquieria
Fragaria chiloensis var. ananassa,no,
Frailea cataphracta,yes,Frailea
FRANCOACEAE,no,
Frankenia chilensis,yes,Frankenia
Fraxinus griffithii,yes,Fraxinus
Fremontia,yes,SARCOBATACEAE
Fremontodendron californicum subsp. obispoense,no,
Freylinia undulata,yes,Freylinia
Freylinia undulata var. pubescens,yes,Freylinia undulata
Friesodielsia,yes,ANNONACEAE
Friesodielsia obovata,yes,Friesodielsia
Fritillaria caucasica,yes,Fritillaria
Fritillaria erzurumica,yes,Fritillaria
Fritillaria lanceolata,yes,Fritillaria
Fritillaria lanceolata var. tristulis,yes,Fritillaria lanceolata
Fritillaria multiflora,yes,Fritillaria
Fritillaria raddeana,yes,Fritillaria
Fritillaria rhodocanakis,yes,Fritillaria
Froelichia,yes,AMARANTHACEAE
Froelichia floridana,yes,Froelichia
Froelichia gracilis,yes,Froelichia
Fuchsia ×,no,
Fuchsia Ã— cinnabarina,no,
Fuchsia Ã— hybrida,no,
Fuchsia alpestris,yes,Fuchsia
Fuchsia Ã— reflexa,no,
Fuchsia austromontana,yes,Fuchsia
Fuchsia corymbiflora,yes,Fuchsia
Fuchsia decidua,yes,Fuchsia
Fuchsia garleppiana,yes,Fuchsia
Fuchsia hemsleyana,yes,Fuchsia
Fuchsia macrantha,yes,Fuchsia
Fuchsia minutiflora,yes,Fuchsia
Fuchsia pilosa,yes,Fuchsia
Fuchsia pringlei,yes,Fuchsia
Fuchsia pyrifolia,yes,Fuchsia
Fuchsia tacanensis,yes,Fuchsia
Fuchsia tetradactyla,yes,Fuchsia
Fulcaldea,yes,ASTERACEAE
Galiniera,yes,RUBIACEAE
Galiniera coffeoides,yes,Galiniera
Galium angustifolium var. foliosum,no,
Gamanthus,yes,AMARANTHACEAE
Gamanthus gamocarpus,yes,Gamanthus
Garcinia livingstonei,yes,Garcinia
Gardenia horrida,yes,Gardenia
Gardenia spathulifolia,yes,Gardenia
Garrya fadyenii,yes,Garrya
Gasteria beckeri,yes,Gasteria
Gastrochilus,yes,ORCHIDACEAE
Gastrochilus somae,yes,Gastrochilus
Gastrorchis,yes,ORCHIDACEAE
Gastrorchis schlechteri,yes,Gastrorchis
Gaultheria mundula,yes,Gaultheria
Gaultheria mundula var. setifolia,yes,Gaultheria mundula
Gaultheria ovatifolia,yes,Gaultheria
Gaultheria rupestris,yes,Gaultheria
Gaultheria tomentosa,yes,Gaultheria
Gazania pavonia,yes,Gazania
Geissorhiza rochensis,yes,Geissorhiza
Geleznowia,yes,RUTACEAE
Geleznowia verrucosa,yes,Geleznowia
Genista lydia,yes,Genista
Genista monosperma,yes,Genista
Genista vepres,yes,Genista
Genista virgata,yes,Genista
Gentiana bellidifolia,yes,Gentiana
Gentiana grombczewskii,yes,Gentiana
Gentiana hybrida,yes,Gentiana
Gentiana kochiana,yes,Gentiana
Gentiana lutea subsp. lutea,no,
Gentiana olivieri,yes,Gentiana
Gentiana parryi,yes,Gentiana
Gentiana pneumonanthe,yes,Gentiana
Gentiana sceptrum Griseb.,yes,Gentiana
Gentiana septemfida,yes,Gentiana
Gentiana stuebelii,yes,Gentiana
Gentiana turkestanorum,yes,Gentiana
Gentiana umbellata,yes,Gentiana
Gentianella amarella,yes,Gentianella
Geranium anemonifolium,yes,Geranium
Geranium dissectum,yes,Geranium
Geranium ibericum,yes,Geranium
Geranium molle,yes,Geranium
Geranium nodosum,yes,Geranium
Geranium renardii,yes,Geranium
Geranium rotundifolium,yes,Geranium
Geranium traversii,yes,Geranium
Geranium tridens,yes,Geranium
Geranium versicolor,yes,Geranium
Geranium wlassovianum,yes,Geranium
Gerbera ambigua,yes,Gerbera
Gerberia,yes,MALVACEAE
Gibbaeum cryptopodium,yes,Gibbaeum
Gibbaeum heathii,yes,Gibbaeum
Gibbaeum luckhoffii,yes,Gibbaeum
Gibbaeum nelii,yes,Gibbaeum
Gibbaeum pachypodium,yes,Gibbaeum
Gibbaeum perviride,yes,Gibbaeum
Gibbaeum petrense,yes,Gibbaeum
Gibbaeum pilosulum,yes,Gibbaeum
Gibbaeum shandii,yes,Gibbaeum
Gibbaeum velutinum,yes,Gibbaeum
Giganthemum,yes,FABACEAE
Gilia achilleifolia,yes,Gilia
Gilia angelensis,yes,Gilia
Gilia latifolia,yes,Gilia
Gilia leptantha,yes,Gilia
Gilia leptantha subsp. pinetorum,yes,Gilia leptantha
Gilia tenuiflora,yes,Gilia
Gilia tenuiflora var. davyi,yes,Gilia tenuiflora
Gilia tricolor,yes,Gilia
Githopsis pulchella,yes,Githopsis
Gladiolus edulis,yes,Gladiolus
Gladiolus klattianus,yes,Gladiolus
Gladiolus macowanii,yes,Gladiolus
Glaux,yes,PRIMULACEAE
Glaux maritima,yes,Glaux
Gleditsia delavayi,yes,Gleditsia
Gliricidia,yes,FABACEAE
Gliricidia sepium,yes,Gliricidia
Globba,yes,ZINGIBERACEAE
Globba schomburgkii,yes,Globba
Globularia cordifolia,yes,Globularia
Glottiphyllum arrectum,yes,Glottiphyllum
Glottiphyllum peersii,yes,Glottiphyllum
Glottiphyllum salmii,yes,Glottiphyllum
Gloxinia,yes,GESNERIACEAE
Gloxinia pallidiflora,yes,Gloxinia
Glyceria aquatica,yes,Glyceria
Glyceria fluitans,yes,Glyceria
Gnaphalium,yes,ASTERACEAE
Gnaphalium americanum,yes,Gnaphalium
Gnaphalium cheiranthifolium,yes,Gnaphalium
Gnetum indicum,yes,Gnetum
Gnetum leptostachyum,yes,Gnetum
Gnetum leptostachyum var. robustum,yes,Gnetum leptostachyum
Gnetum scandens,yes,Gnetum
Gochnatia,yes,ASTERACEAE
Gomphocarpus fruticosus,yes,Gomphocarpus
Gompholobium grandiflorum,yes,Gompholobium
Gompholobium knightianum,yes,Gompholobium
Gongora armeniaca,yes,Gongora
Gongora armeniaca var. bicornuta,yes,Gongora armeniaca
Gongora atropurpurea,yes,Gongora
Gongora galeata,yes,Gongora
Gonzalagunia dependens,yes,Gonzalagunia
Goodenia caerulea,yes,Goodenia
GOODENIACEAE,no,
Goodenia ovata,yes,Goodenia
Gossypium aridum,yes,Gossypium
Gossypium darwinii,yes,Gossypium
Gossypium klotzschianum,yes,Gossypium
Gossypium raimondii,yes,Gossypium
Gossypium robinsonii,yes,Gossypium
Gossypium sturtianum,yes,Gossypium
Gossypium sturtii,yes,Gossypium
Gossypium tomentosum,yes,Gossypium
Graderia,yes,OROBANCHACEAE
Graderia fruticosa,yes,Graderia
Graptopetalum bartramii,yes,Graptopetalum
Graptopetalum filiferum,yes,Graptopetalum
Graptopetalum occidentale,yes,Graptopetalum
Graya,yes,POACEAE
Greenea,yes,RUBIACEAE
Grevillea banksii,yes,Grevillea
Grevillea baueri,yes,Grevillea
Grevillea nana,yes,Grevillea
Grevillea obtusifolia,yes,Grevillea
Grevillea tridentifera,yes,Grevillea
Grevillea triternata,yes,Grevillea
Grewia falcistipula,yes,Grewia
Grindelia glutinosa,yes,Grindelia
Groenlandia,yes,POTAMOGETONACEAE
Groenlandia densa,yes,Groenlandia
Grubbia,yes,GRUBBIACEAE
GRUBBIACEAE,no,
Grubbia rosmarinifolia,yes,Grubbia
Guaiacum sanctum,yes,Guaiacum
Gunnera albocarpa,yes,Gunnera
Gunnera chilensis Lam.,yes,Gunnera
Gunnera hamiltonii,yes,Gunnera
Gunnera masafuerae,yes,Gunnera
Gunnera monoica,yes,Gunnera
Gunnera peruviana,yes,Gunnera
Gymnocalycium baldianum,yes,Gymnocalycium
