media handling record: fileName,taxon,Taxon record: family,objectNumber,Taxon record: naturalHistoryCommonName,fieldLocCountry,briefDescription,fieldCollector,fieldCollectionNumber,fieldCollectionDateGroup,source,accessionDate,Voucher record: Wild,Voucher record: Horticultural,reference,referenceGroup_reference,Distribution record: depositor_Plant,Distribution record: depositor_Seed,notes,deadFlag,flowerColor,comment
DeadRecords_05390|DeadRecords_05391,(Shrub),,66.1030,,"U.S.A., Calif.",cuts,W.E. Roderick,,3-IV-66,W.E. Roderick U. C. B. G. staff,1966-04-11,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Kingston Mount., SanBernadino Co., 3-IV-66, W. Roderick. Ca. 5000ft. alt. Dry wash, gravel and sand. Full sun. Low shrubs and yucca."
DeadRecords_05396|DeadRecords_05397,(Grass),GRAMINEAE,66.1177,,"U.S.A. , Calif.",lge. canned plt.  (egg can),C. Luckhart's daughter,,,"Chalmers Luckhart, UCBG staff.",,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Vogelsang area, Calif., IX-66, by daughter."
DeadRecords_05398|DeadRecords_05399,(Mallow),MALVACEAE,66.1201,,"U.S.A., Calif.",plt.,W. Roderikk & C. Lockhart,,24-IX-66,"W. Roderick & C. Lockhart, UCBG Staff    0",1966-09-26,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Base of Mt. Shasta, road up mt. from town of Mt. Shasta, Siskyou Co., being cleared for Penny Pines Plantation. Ca. 4000 ft. alt. Very fine sand with little clay, some rocks. humus in upper layer from shrubs (manzanita, Prunus, Rhamnus)."
DeadRecords_05400|DeadRecords_05401,Umbellifer,UMBELLIFERAE,66.1206,,"U.S.A., Calif.",,,,,Already in garden,,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Came in soil with 63.1205 (Fritillaria purdyi Eastw.) - 1.5 mi. of Plasket Meadow Camp. Glenn Co., 29-VI-63. S facing slope, full sun, very little plant competition - small grasses, and annuals and a few low shrubs. Sandy, gritty, gravelly soil with mica schist rock outcroppings. Many bulbs in crevices of rocks."
DeadRecords_05452|DeadRecords_05453,Succulent sp. File indet !,,67.0075,,East Transvaal,plts.,"J.J. Lavranos, Lv",4569,8-V-66,"Date John J. Lavranos, So. Africa via J.W. Dodson (Int. Succ. Inst. ), Millbrae, Calif.",1967-01-30,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: An unidentified succulent from Shydom Tunnell, East Transvaal. JWD 149/IV 4569."
DeadRecords_05458|DeadRecords_05459,Unidantified fern?,,67.0345,,,plt.,Meyer,9426,,"Longwood Gardens, Kennett Square, Pennsylvania 19348 (#6654)",1967-05-04,,,,,,,,True,,"Added from dead card, 2025: 
 Horticultural Notes: DEAD, 3-VI-69. Centry; 
 Permanent: FHmc L"
DeadRecords_05568,DISCARDED,ORCHIDACEAE,69.0086,,Mexico,plts. (2),J.W. Dodson,336,,"Dr. J.W. Dodson, UCBG staff.",1969-03-27,,,,,,,,True,,"Added from dead card, 2025: 
 "
DeadRecords_05600|DeadRecords_05601,Portulacaceae sp.,Portulacaceae,71.0420,,Mexico,1 plt.,J W. Dodson,287,"Jan.12,1969",,,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: and   Collected 4 mi.from Tehuantepec towards Oaxaca, between Km.781 and 782  after passing bridge marked Puenta Las Tejas. Turnout on old road on Right hand side and about 11 imles in on this road. This is an unidentified shrub to 4 ft. of a species of the portulacaceae.; 
 Permanent: Sh 73"
DeadRecords_05804,"""bulb""",,85.0750,,,plt.,"R. Ornduff "" lot""",9240,,"Coll., UCB Botany",1985-05-16,,,,,,,,True,,"Added from dead card, 2025: 
 Permanent: Navy Hs."
DeadRecords_05805,?,?,85.0813,,New Zealand,sd,Graham Hutchins,s.n.,1985,"Via Mary Wildavsky, Oakland, CA",1985-06-07,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: South Island: Woodside Gorge. SWG 119"
DeadRecords_00872|DeadRecords_00873,Fern,POLYPODIACEAE,65.1039,,"USA, CALIF.",,"W. Roderick, M. Roderick",,,"W. Roderick, UCBG; Mrs. Martha Roderick, Petaluma",1965-01-07,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: 4.1 road mi. W on Hauser Cr. Rd. from jct. with Campo-Moreno Village Rd., vic. Moreno Lake, southern San Diego Co., 4-I-65. Ca. 1625 ft. alt., growing in crevice of granite boulder."
DeadRecords_00876|DeadRecords_00877,Fern,Polypodiaceae,65.1212,,"U. S. A., Calif.",1 plt.,W. Roderick with T. Niehaus,,,"W. Roderick, UCBG staff with T. Niehaus, U. C.",1965-04-27,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Santa Cruz I., Calif., First canyon E. of Prisoners Harbor, 26-IV-65. 200-250 ft. alt. S facing S teep slope to cliff. Full sun. Mostly rock outcrops heavily covered with some oaks, poison oak, cactus, morning glory, mimulus, coreopsis gigantia, Delphinium, Dudleya, grasses, Very gritty soil with some humus."
